species	sample
G	UMMZ166514
G	UMMZ166518
G	UMMZ166526
G	MSB235493
G	CTA1539
G	MVZ198015
G	MDL13
G	LBCE5361
G	LBCE5409
G	LBCE4432
G	LBCE4433
G	MZ35144
G	MZ35145
G	UMMZ166381
G	UMMZ166255
G	UMMZ166256
G	TTU108452
G	TTU108467
G	TTU108438
G	TTU108439
G	TTU108458
G	TTU108460
G	TTU108462
G	UMMZ174829
G	UMMZ165996
G	UMMZ166707
G	TTU108463
G	UMMZ166389
G	UMMZ166214
G	UMMZ166250
G	UMMZ166391
G	UMMZ166375
G	UMMZ166409
H	MUFAL0023
I	MSB236670
I	MSB210547
I	MVZ193736
I	MVZ190357
I	MVZ193734
I	MJ742
I	BRFMP10668
I	MC164
I	SA88
I	T4581
I	T4595
I	T6822
I	T6876
I	TTU75634
I	TTU75641
I	TTU76303
I	TTU98745
I	MSB208404
I	MSB211485
I	MSB211440
I	MSB55298
I	MSB236995
I	MSB55296
I	MSB99051
I	MSB55988
BCDE	MCNU4117
BCDE	M24
BCDE	PCH4155
BCDE	PNA153
BCDE	RGR514
BCDE	RGR526
BCDE	RGR528
BCDE	RGR135
F	AMNH257336
A	MSB204443
A	UMMZ166479
A	UMMZ166524
A	UFSC5167
A	LBCE1222
A	MCNU1946
A	MCNU3424
A	MCNU3425
A	MCNU3426
A	MCNU1943
A	MCNU2746
A	MCNU3428
A	MCNU3427
A	MCNU2342
A	MCNU2595
A	UFSC5074
A	UMMZ174820
A	UMMZ175059
A	UMMZ174824
PSEUDO	PNA022
NECTO	TTU108466
