NUMERO,LOCALIDADE,ESTADO,PAIS,SP,LogLM,LogBM1,LogLIF,LogBFI,LogBIT,LogBP,LogLN,LogBN,LogLIB,LogBB,LogBZP,LogBOC,LogLPB,LogBI,LogLI,LogLB,LM,BM1,LIF,BFI,BIT,BP,LN,BN,LIB,BB,BZP,BOC,LPB,BI,LI,LB,LAT,LONG,LD1,LD2,LD3,LD4,LD5
BMNH 1909.12.1.24,AjÜ,Buenos Aires,Argentina,A,2.060513532,0.966983846,1.93441577,0.774727168,1.043804052,2.083184528,2.507971923,1.244154594,1.427916036,2.689207113,1.530394705,2.16791019,2.14710019,2.277267285,0.947789399,2.647592232,7.85,2.63,6.92,2.17,2.84,8.03,12.28,3.47,4.17,14.72,4.62,8.74,8.56,9.75,2.58,14.12,-36.4,-56.9666667,-3.775555066,1.719176797,0.197684916,2.048037109,-1.582291956
BMNH 1909.12.1.25,AjÜ,Buenos Aires,Argentina,A,2.039920784,0.904218151,2.041220329,0.797507196,1.327075001,2.119863456,2.664446564,1.220829921,1.355835154,2.789937361,1.736951233,2.144761008,2.172476408,2.314513664,1.088561953,2.667228207,7.69,2.47,7.7,2.22,3.77,8.33,14.36,3.39,3.88,16.28,5.68,8.54,8.78,10.12,2.97,14.4,-36.4,-56.9666667,-3.898634419,-0.172780464,0.82196128,-0.557699471,-0.961357991
BMNH 1909.12.1.72a,AjÜ,Buenos Aires,Argentina,A,2.039920784,0.924258902,2.179286877,0.858661619,1.430311247,2.197224577,2.826129489,1.497388409,1.560247668,2.805176912,1.853168097,2.225704049,2.369308725,2.321406847,1.266947603,2.784393768,7.69,2.52,8.84,2.36,4.18,9,16.88,4.47,4.76,16.53,6.38,9.26,10.69,10.19,3.55,16.19,-36.4,-56.9666667,-4.301401239,0.434896418,1.856197973,0.116548999,0.562419321
BMNH 1917.6.1.14,"Isla Ella, Delta del Parana",Buenos Aires,Argentina,A,2.07819076,0.982078472,2.125847914,0.966983846,1.415853163,2.111424588,2.735016649,1.501852702,1.581038438,2.72850621,1.640936579,2.09679018,2.333114298,2.281361457,1.036736885,2.689207113,7.99,2.67,8.38,2.63,4.12,8.26,15.41,4.49,4.86,15.31,5.16,8.14,10.31,9.79,2.82,14.72,-34.3241578,-58.4431458,-1.940745556,0.104442406,2.080836557,-1.014000453,-1.032501987
BMNH 1917.6.1.15,"Isla Ella, Delta del Parana",Buenos Aires,Argentina,A,2.020222182,0.959350221,2.091864062,0.887891257,1.376244025,2.129421474,2.784393768,1.401182974,1.539015448,2.783157674,1.60743591,2.129421474,2.243896097,2.484072969,1.022450928,2.772588722,7.54,2.61,8.1,2.43,3.96,8.41,16.19,4.06,4.66,16.17,4.99,8.41,9.43,11.99,2.78,16,-34.3241578,-58.4431458,-2.972060178,-0.40005384,2.02855944,-0.600707457,0.655231769
MACN 15736,"Buenos Aires, 35km N.O. de Ayacucho",Buenos Aires,Argentina,A,2.02287119,0.951657876,2.189416395,0.916290732,1.403642999,2.116255515,2.663749942,1.261297871,1.456286733,2.77695418,1.771556762,2.150598736,2.234306252,2.35991016,0.845868268,2.72392355,7.56,2.59,8.93,2.5,4.07,8.3,14.35,3.53,4.29,16.07,5.88,8.59,9.34,10.59,2.33,15.24,-34.4,-59,-2.574233781,1.755064932,0.907639404,-0.01693281,-0.019248249
MACN 17866,Buenos Aires,Buenos Aires,Argentina,A,2.041220329,0.88376754,2.144761008,0.871293366,1.430311247,2.187174241,2.765689981,1.232560261,1.5518088,2.779440197,1.822935087,2.172476408,2.279316466,2.477378383,1.226712291,2.721953106,7.7,2.42,8.54,2.39,4.18,8.91,15.89,3.43,4.72,16.11,6.19,8.78,9.77,11.91,3.41,15.21,-34.4,-59,-3.662144854,0.67383888,-0.257379618,-1.515451674,1.309859059
MACN 18661,Delta I.N.T.A,Buenos Aires,Argentina,A,2.018895042,0.810930216,1.908059925,0.955511445,1.153731588,2.059238834,2.610804817,1.388791241,1.549687908,2.818398258,1.465567542,2.235376343,2.231089091,2.419478844,0.97455964,2.642622396,7.53,2.25,6.74,2.6,3.17,7.84,13.61,4.01,4.71,16.75,4.33,9.35,9.31,11.24,2.65,14.05,-33.7895012,-58.7905006,-3.806615603,-1.692782426,0.536638804,1.840069787,-1.591447527
MACN 19335,"Otamendi, I.N.T.A, Buenos Aires",Buenos Aires,Argentina,A,1.954445052,0.875468737,2.073171929,0.940007258,1.32175584,2.124653885,2.826721731,1.391281903,1.578978705,2.797890905,1.617406082,2.1690537,2.388762789,2.320425011,0.879626748,2.738256043,7.06,2.4,7.95,2.56,3.75,8.37,16.89,4.02,4.85,16.41,5.04,8.75,10.9,10.18,2.41,15.46,-34.199,-58.881,-2.747336672,-0.046239022,0.093385949,0.543591639,-0.013352447
MACN 20333,"Delta I.N.T.A, Buenos Aires",Buenos Aires,Argentina,A,2.0255132,0.802001585,1.993338843,0.875468737,1.226712291,2.107786015,2.664446564,1.366091654,1.541159072,2.800933195,1.539015448,2.151762203,2.249184316,2.397895273,0.451075619,2.634762405,7.58,2.23,7.34,2.4,3.41,8.23,14.36,3.92,4.67,16.46,4.66,8.6,9.48,11,1.57,13.94,-33.7895012,-58.7905006,-3.213628887,1.025387802,0.455426195,-0.989399373,-1.72743994
MACN 20388,"Otamendi, I.N.T.A- Delta, Buenos Aires",Buenos Aires,Argentina,A,2.075684493,0.916290732,2.237513096,1.095273387,1.510721939,2.262804223,2.914522218,1.425515074,1.669591835,2.823757009,1.776645831,2.206074193,2.402430428,2.32532458,0.904218151,2.72719902,7.97,2.5,9.37,2.99,4.53,9.61,18.44,4.16,5.31,16.84,5.91,9.08,11.05,10.23,2.47,15.29,-34.199,-58.881,-3.697138822,-1.083176949,-0.390473062,-1.593228964,0.63052108
MACN 5386,Zelaya,Buenos Aires,Argentina,A,2.048982334,0.88376754,2.050270164,0.887891257,1.278152203,2.132982309,2.708050201,1.332366019,1.539015448,2.855895328,1.673351238,2.183801557,2.270061901,2.361796953,0.887891257,2.760642651,7.76,2.42,7.77,2.43,3.59,8.44,15,3.79,4.66,17.39,5.33,8.88,9.68,10.61,2.43,15.81,-34.370141,-58.871094,-3.770740329,0.55605012,1.597774203,0.851862646,0.439207487
MACN 18601,"Parque Nacional El Palmar, Entre Rios",Entre Rios,Argentina,A,2.008214032,0.875468737,1.974081026,1.078409581,1.147402453,2.123458427,2.614471854,1.269760545,1.583093937,2.806990149,1.601405741,2.163323026,2.225704049,2.361796953,0.737164066,2.674838067,7.45,2.4,7.2,2.94,3.15,8.36,13.66,3.56,4.87,16.56,4.96,8.7,9.26,10.61,2.09,14.51,-31.8609115,-58.2218742,-3.12290879,1.043186388,-0.631547743,1.463827133,-0.740977762
UMMZ 166268,"6 KM S (BY ROAD) OF PUERTO IBICUY, 33 DEG 47' S, 59 DEG 10' W",Entre Rios,Argentina,A,2.042518188,0.904218151,2.16791019,0.920282753,1.32972401,2.344686269,2.776331709,1.266947603,1.558144618,2.814210397,1.662030363,2.180417459,2.280339484,2.472327868,0.932164081,2.814210397,7.71,2.47,8.74,2.51,3.78,10.43,16.06,3.55,4.75,16.68,5.27,8.85,9.78,11.85,2.54,16.68,-33.78333,-59.16667,-6.398489783,1.644135741,-0.739676795,0.378248574,1.691078741
UMMZ 166269,"6 KM S (BY ROAD) OF PUERTO IBICUY, 33 DEG 47' S, 59 DEG 10' W",Entre Rios,Argentina,A,2.033397603,0.891998039,2.080690761,0.91228271,1.363537374,2.406043801,2.872434057,1.202972304,1.619388243,2.802754137,1.759580571,2.182674796,2.366498419,2.52332576,0.891998039,2.748552144,7.64,2.44,8.01,2.49,3.91,11.09,17.68,3.33,5.05,16.49,5.81,8.87,10.66,12.47,2.44,15.62,-33.78333,-59.16667,-6.986431261,1.537564625,-2.88930841,-2.434107471,1.456468217
UMMZ 166395,"6 KM S (BY ROAD) OF PUERTO IBICUY, 33 DEG 47' S, 59 DEG 10' W",Entre Rios,Argentina,A,2.020222182,0.928219303,2.152924318,1.01523068,1.289232648,2.182674796,2.726544784,1.244154594,1.615419984,2.77695418,1.599387577,2.189416395,2.222459049,2.512846018,1.071583616,2.722610352,7.54,2.53,8.61,2.76,3.63,8.87,15.28,3.47,5.03,16.07,4.95,8.93,9.23,12.34,2.92,15.22,-33.78333,-59.16667,-3.413805319,-0.117679697,-1.113103649,0.707994149,1.267073048
MACN 16396,"Santa F_, 10 km al O. de Firmat, Ca_ada La Blanqueada",Santa Fe,Argentina,A,2.026831591,0.875468737,1.95586048,0.78845736,1.105256831,2.018895042,2.626116818,1.316408234,1.589235205,2.76757618,1.58514522,2.109000344,2.179286877,2.45530618,1.01884732,2.689207113,7.59,2.4,7.07,2.2,3.02,7.53,13.82,3.73,4.9,15.92,4.88,8.24,8.84,11.65,2.77,14.72,-33.45,-61.48,-1.643054296,1.691242585,1.607014666,0.245299485,0.191789306
MAM204,Lagoa Santa,Minas Gerais,Brasil,A,1.976854953,0.837247525,1.896119485,1.004301609,1.437462648,2.093097868,2.755569717,1.560247668,1.593308531,2.751109691,1.704748092,2.163323026,2.355177543,2.481567749,1.235471471,2.736961545,7.22,2.31,6.66,2.73,4.21,8.11,15.73,4.76,4.92,15.66,5.5,8.7,10.54,11.96,3.44,15.44,-19.62,-43.89,-3.184291453,-0.949812174,2.344003057,-0.945516346,-0.798058917
MN61802,"Imba_, Silva Jardim",Rio de Janeiro,Brasil,A,1.916922612,0.837247525,1.950186706,0.867100488,1.376244025,2.00148,2.680336363,1.413423029,1.646733697,2.780060737,1.613429934,2.117459609,2.130609828,2.388762789,0.920282753,2.673458756,6.8,2.31,7.03,2.38,3.96,7.4,14.59,4.11,5.19,16.12,5.02,8.31,8.42,10.9,2.51,14.49,-22.64,-42.39,-1.033313659,-0.787014064,2.571856418,-0.119546945,-0.111256764
BMNH 1888.11.30.9,Lagoa dos Patos,Rio Grande do Sul,Brasil,A,2.055404964,0.920282753,2.121063216,0.90016135,1.391281903,2.173614712,2.814809738,1.427916036,1.638996715,2.824350657,1.769854634,2.155244505,2.276241118,2.461296784,1.01523068,2.764430535,7.81,2.51,8.34,2.46,4.02,8.79,16.69,4.17,5.15,16.85,5.87,8.63,9.74,11.72,2.76,15.87,-31.1,-51.25,-3.19992122,0.519573867,1.92892581,-1.464375575,1.150055504
MN 24170,"Faz. Kangutti, bairro do Rem_dio, Taubat_",Sao Paulo,Brasil,A,1.950186706,0.751416089,1.967112357,0.90016135,1.244154594,2.113842968,2.666533521,1.319085611,1.499623046,2.753023567,1.54329811,2.112634509,2.199444334,2.447550863,1.220829921,2.682390454,7.03,2.12,7.15,2.46,3.47,8.28,14.39,3.74,4.48,15.69,4.68,8.27,9.02,11.56,3.39,14.62,-23.025,-45.555,-3.496122768,-0.192457558,0.114847045,0.565935479,-0.488871865
MN 24173,"Faz Antonio Taino, bairro barranco, Taubat_",Sao Paulo,Brasil,A,1.922787732,0.779324877,2.136530509,1.01523068,1.2753628,2.129421474,2.822568655,1.327075001,1.512927012,2.797890905,1.578978705,2.182674796,2.235376343,2.499795262,1.105256831,2.721295428,6.84,2.18,8.47,2.76,3.58,8.41,16.82,3.77,4.54,16.41,4.85,8.87,9.35,12.18,3.02,15.2,-23.025,-45.555,-2.873304261,-1.443808685,-0.945292169,0.792981076,0.412973512
