Individual	Species	CSM	LM1	CFI	LFI	LPI	LPA	CNA	LNA	LIO	LCC	LPZ	LCO	CPP	LIP	CIP
1	H	0.030129435	-0.000831154	-0.0096539	0.132678781	0.056749166	0.001787233	0.067879745	-0.093058998	-0.059102198	0.009608106	-0.056095883	0.006754933	-0.026756342	0.100107763	0.156513878
2	H	0.006474223	0.104055694	0.066841573	0.034320128	0.120290048	-0.024849177	0.04680158	0.017805866	0.076427255	0.010944524	-0.050548786	0.03483398	0.067677169	0.058759518	0.207595246
3	H	-0.051403386	-0.039493961	-0.025615684	0.009833243	-0.001320748	0.01582519	0.038221982	-0.066311322	-0.032677272	-0.028669266	-0.079819353	-0.066442505	-0.031659722	-0.202482449	0.13267833
4	H	-0.050972103	0.042454978	-0.01096525	0.078408978	0.095839804	0.01211306	0.043356481	-0.063708566	0.023050787	-0.007641383	-0.047083608	-0.026405931	-0.00963992	-0.047385477	0.085509061
5	H	0.0443793	-0.015242883	0.09742925	-0.008335462	0.221991322	-0.004438352	0.154645139	0.084813443	0.114181072	0.022018149	0.050180285	0.10213666	0.10394343	0.093127383	0.2358229
6	H	0.070917902	-0.007620761	0.080236	0.063940344	0.03452654	0.050224553	0.11703792	0.059846264	-0.056426954	-0.022805058	0.119147682	0.050865066	0.051731649	0.087450436	0.012095902
7	H	0.023595277	0.052776658	0.063022844	-0.048333171	-0.006582001	-0.040222074	0.0423468	0.098222548	0.04653463	-0.01327826	-0.086599468	0.018111365	-0.012716206	0.042764895	-0.020225085
8	H	0.00506378	0.010620835	0.002189496	0.017739734	-0.046023534	-0.044863786	0.048393675	0.024797962	-0.021279272	0.001465035	-0.143217424	0.000640633	-0.032774656	0.021461661	0.036298535
9	H	-0.057247132	0.006857267	0.063069187	0.019092781	0.033198911	0.003166869	0.068113032	-0.214154743	-0.037018015	-0.003661402	-0.063521978	-0.029783227	-0.036014946	0.006470085	0.079988812
10	H	0.051576893	0.07274746	0.069127632	0.033996669	0.042853737	0.046206707	0.071986516	-0.081044843	0.055310443	0.004133777	0.083128884	-0.079617867	0.033350667	0.047592622	0.126970242
11	H	-0.019579426	-0.012158625	-0.103292735	0.000232663	-0.209493553	0.024807207	-0.010825141	-0.009698277	0.015595265	0.007362147	-0.11848355	-0.048576228	-0.025025279	0.045850206	0.249004851
12	H	0.03437502	0.028803154	-0.023853642	-0.024985211	-0.083411067	0.029244186	0.034788023	-0.112644269	-0.051782727	0.052496515	-0.058788744	-0.0081811	-0.05182285	0.010522628	0.06793562
